name,url,error_orig,type_error_orig,error_app,type_error_app,pdfs,pdf_avec_criteres
Réaliser la rénovation énergétique de mon logement principal,/aides/6a87-realiser-la-renovation-energetique-de-mon-log/,True,,False,url changed to https://www.toulouse-metropole.fr/-/aide-a-la-renovation-energetique-des-logements-prives,[],False
Apporter une aide directe aux entreprises,/aides/ced5-aides-directes-aux-entreprises/,False,url not starting with http,False,url not starting with http,[],False
Financer l'investissement productif,/aides/2910-aides-a-linvestissement-productif/,True,,False,url not starting with http,"['http://ccv2m.fr/wp-content/uploads/2021/05/Reglement-interieur-CCV2M-1.pdf', 'http://ccv2m.fr/wp-content/uploads/2015/05/diagnostic_agricole_foncier.pdf', 'http://ccv2m.fr/wp-content/uploads/2015/05/AET_reglement.pdf', 'http://ccv2m.fr/wp-content/uploads/2019/12/tableau-V2M.pdf']",True
Investir dans l'immobilier d'entreprises,/aides/2faa-investir-dans-limmobilier-dentreprises/,False,url not starting with http,False,url not starting with http,[],False
Promouvoir les circuits courts qualitatifs,/aides/6697-circuit-courts-qualitatifs/,False,url changed to https://www.paysvichyauvergne.com/contenu/fck/Vichy_FA1_Ville-Campagne_VF_15%20juin%202016(2).pdf,False,url not starting with http,[],False
ECO Pulse Investissement,/aides/509b-eco-pulse-investissement/,False,Status 404,False,Status 404,[],False
Soutenir l'investissement en immobilier des entreprises dans le cadre d'une création ou extension d'activité,/aides/4831-aide-a-limmobilier-dentreprises/,True,,False,url not starting with http,"['http://www.cc-madetmoselle.fr/images/Documents/REGLEMENT-PLAN.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/REG-2020-2023.pdf', 'http://www.cc-madetmoselle.fr/images/FR-MODIF.pdf']",True
"Promouvoir les paysages, les patrimoines et le tourisme du Grand Pic Saint-Loup",/aides/87dd-promouvoir-les-paysages-les-patrimoines-et-le/,True,,False,url not starting with http,"['https://grandpicsaintloup.fr/content/uploads/2020/10/FA-6-COOPERATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-5-PRESERVATION-DES-RESSOURCES-ET-ENVIRONNEMENT.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-1-PAYSAGES-PATRIMOINE-ET-TOURISME.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-4-ÉCONOMIE-LOCALE-ET-INNOVATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-3-QUALITE-DE-VIE-ET-COHESION-SOCIALE.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-2-ENTREPRENEURIAT-ET-EMPLOYABILITE.pdf']",True
Développer l'entrepreneuriat et l'employabilité en Grand Pic Saint-Loup,/aides/6504-developper-lentrepreneuriat-et-lemployabilite/,True,,False,url not starting with http,"['https://grandpicsaintloup.fr/content/uploads/2020/10/FA-6-COOPERATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-5-PRESERVATION-DES-RESSOURCES-ET-ENVIRONNEMENT.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-1-PAYSAGES-PATRIMOINE-ET-TOURISME.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-4-ÉCONOMIE-LOCALE-ET-INNOVATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-3-QUALITE-DE-VIE-ET-COHESION-SOCIALE.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-2-ENTREPRENEURIAT-ET-EMPLOYABILITE.pdf']",True
Améliorer la qualité de vie et la cohésion sociale en Grand Pic Saint-Loup,/aides/8d9a-ameliorer-la-qualite-de-vie-et-la-cohesion-so/,True,,False,url not starting with http,"['https://grandpicsaintloup.fr/content/uploads/2020/10/FA-6-COOPERATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-5-PRESERVATION-DES-RESSOURCES-ET-ENVIRONNEMENT.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-1-PAYSAGES-PATRIMOINE-ET-TOURISME.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-4-ÉCONOMIE-LOCALE-ET-INNOVATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-3-QUALITE-DE-VIE-ET-COHESION-SOCIALE.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-2-ENTREPRENEURIAT-ET-EMPLOYABILITE.pdf']",True
Développer l'économie locale et l'innovation en Grand Pic Saint-Loup,/aides/168d-developper-leconomie-locale-et-linnovation-en/,True,,False,url not starting with http,"['https://grandpicsaintloup.fr/content/uploads/2020/10/FA-6-COOPERATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-5-PRESERVATION-DES-RESSOURCES-ET-ENVIRONNEMENT.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-1-PAYSAGES-PATRIMOINE-ET-TOURISME.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-4-ÉCONOMIE-LOCALE-ET-INNOVATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-3-QUALITE-DE-VIE-ET-COHESION-SOCIALE.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-2-ENTREPRENEURIAT-ET-EMPLOYABILITE.pdf']",True
Préserver les ressources et l'environnement,/aides/f0ad-preserver-les-ressources-et-lenvironnement/,True,,False,url not starting with http,"['https://grandpicsaintloup.fr/content/uploads/2020/10/FA-6-COOPERATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-5-PRESERVATION-DES-RESSOURCES-ET-ENVIRONNEMENT.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-1-PAYSAGES-PATRIMOINE-ET-TOURISME.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-4-ÉCONOMIE-LOCALE-ET-INNOVATION.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-3-QUALITE-DE-VIE-ET-COHESION-SOCIALE.pdf', 'https://grandpicsaintloup.fr/content/uploads/2020/10/FA-2-ENTREPRENEURIAT-ET-EMPLOYABILITE.pdf']",True
Réaliser des études préalables à la déclaration d’utilité publique (DUP),/aides/e7ee-realiser-des-etudes-prealables-a-la-declarati/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_AEP_1.pdf']",True
Réaliser des travaux de protection des captages d'eau prescrits par la déclaration d’utilité publique (DUP),/aides/5410-realiser-des-travaux-de-protection-des-captag/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_AEP_1.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/CONV_mandat_PPC.pdf']",True
Réaliser des acquisitions foncières des périmètres de protection,/aides/253b-realiser-des-acquisitions-foncieres-des-perim/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_AEP_1.pdf']",True
Boiser les périmètres de protection de captage,/aides/8dfb-boiser-les-perimetres-de-protection-de-captag/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_AEP_1.pdf']",True
Indemnisation de servitudes des périmètres de protection des captages d’eau,/aides/18b0-indemnisation-de-servitudes-des-perimetres-de/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_AEP_1.pdf']",True
Étudier et suivre la qualité de la ressource,/aides/3471-etudier-et-suivre-la-qualite-de-la-ressource/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_AEP_2.pdf']",True
Faire des travaux de protection des ouvrages de production d'eau potable,/aides/c419-faire-des-travaux-de-protection-des-ouvrages-/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_AEP_2.pdf']",True
Créer des unités de désinfection (études et travaux),/aides/a270-creer-des-unites-de-desinfection-etudes-et-tr/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_AEP_3.pdf']",True
Créer des usines de traitement de l’agressivité (études et travaux),/aides/4679-creer-des-usines-de-traitement-de-traitement-/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_AEP_3.pdf']",True
Remplacer les tronçons de conduites en PVC relarguant du chlorure de vinyle monomère CVM (études et travaux),/aides/1e81-remplacer-les-troncons-de-conduites-en-pvc-re/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_AEP_3.pdf']",True
Améliorer les performances des usines de production (études et travaux),/aides/c05f-ameliorer-les-performances-des-usines-de-prod/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_AEP_4.pdf']",True
Sécuriser l’approvisionnement en eau potable (études et travaux),/aides/8036-securiser-lapprovisionnement-en-eau-potable-e/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_AEP_5.pdf']",True
Réaliser des études d’aide à la décision relatives aux stations de traitement des eaux usées,/aides/609a-realiser-des-etudes-daide-a-la-decision-relat/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_ASS_1.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf']",True
"Réaliser des travaux d’amélioration, de reconstruction ou d’extension de stations de traitement des eaux usées",/aides/ac56-realiser-des-travaux-damelioration-de-reconst/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_ASS_1.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf']",True
Réaliser des études d’aide à la décision pour le transfert des eaux usées,/aides/426a-realiser-des-etudes-daide-a-la-decision-pour-/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/PUBLI_Guide_cctpSDA.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_ASS_2.pdf']",True
Construire des réseaux de transfert des eaux usées,/aides/e5b1-construire-des-reseaux-de-transfert-des-eaux-/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_ASS_2.pdf']",True
"Réaliser des diagnostics, schéma directeurs et profils de baignade",/aides/bf8a-realiser-des-siagnostics-schema-directeurs-et/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/PUBLI_Guide_cctpSDA.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_ASS_3.pdf']",True
Réduire les rejets directs et/ou des surcharges hydrauliques de la station de traitement des eaux usées,/aides/bf87-reduire-les-rejets-directs-etou-des-surcharge/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_ASS_3.pdf']",True
Animer une opération groupée de travaux de réhabilitation,/aides/c153-animer-une-operation-groupee-de-travaux-de-re/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_ASS_4.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FORM_demande_aide_general.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/synthese-2017_tout_public_suivi_in_situ_ANC.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/MOD_memoire_ANC.pdf']",True
Réaliser des études et travaux de réhabilitation d’installations d’assainissement non collectif (ANC) pour préserver les usages sensibles,/aides/85a9-realiser-des-etudes-et-travaux-de-rehabilitat/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/PC_coll_pollution.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/CDC_etudes_ANC.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/CONV_mandat_ANC_collectivites.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_ASS_4.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FORM_demande_aide_general.pdf']",True
Réaliser des études et travaux de réhabilitation d’installations d’assainissement non collectif (ANC) dans le cadre de la solidarité urbain-rural,/aides/f46a-realiser-des-etudes-et-travaux-de-rehabilitat/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/PC_coll_pollution.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/CDC_etudes_ANC.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/CONV_mandat_ANC_collectivites.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_ASS_4.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FORM_demande_aide_general.pdf']",True
Réaliser une étude de zonage d’assainissement collectif / non-collectif,/aides/82f4-realiser-une-etude-de-zonage-dassainissement-/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_ASS_5.pdf']",True
Travaux d’extension du réseau d’assainissement collectif des eaux usées,/aides/38a7-travaux-dextension-du-reseau-dassainissement-/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_ASS_5.pdf']",True
Réaliser une étude préalable à la mise en œuvre de l’autosurveillance du périmètre du système d’assainissement,/aides/6f11-realiser-une-etudes-prealables-a-la-mise-en-u/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_ASS_6.pdf']",True
Mettre en œuvre et fiabiliser l’autosurveillance du périmètre du système d’assainissement,/aides/0798-mettre-en-uvre-et-fiabiliser-lautosurveillanc/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_ASS_6.pdf']",True
"Acquérir, valider et transmettre des données d’autosurveillance",/aides/9bc8-acquerir-valider-et-transmettre-des-donnees-d/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_ASS_6.pdf']",True
"Étudier, sensibiliser, animer, et réaliser des travaux de gestion des eaux pluviales",/aides/d457-etudier-sensibiliser-animer-et-realiser-des-t/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_ASS_7.pdf']",True
Traiter les eaux pluviales pour préserver les usages sensibles (études et travaux),/aides/0c55-traiter-les-eaux-pluviales-pour-preserver-les/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_ASS_7.pdf']",True
Pérenniser un usage des terres restaurant les altérations et réduisant les risques et pertes de fonctionnalités de milieux humides (étude thématique :),/aides/53b6-perenniser-un-usage-des-terres-restaurant-les/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_FON_1.pdf']",True
Pérenniser un usage des terres restaurant les altérations et réduisant les risques et pertes de fonctionnalités de milieux humides (acquisition foncière),/aides/3d0e-perenniser-un-usage-des-terres-restaurant-les/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FORM_demande_aide_general.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/PC_agri_coll_territorial_partenariat.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_FON_1.pdf']",True
Réduire la pollution de l'eau (études préalables),/aides/1d09-etudes-prealables/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Aides-11/Demat-demande-aides/2020/guide_acceptabilit%c3%a9_VF.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_IND_1.pdf']",True
Réduire les pollutions organiques et bactériologiques (travaux),/aides/b24c-reduire-les-pollutions-organiques-et-bacterio/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_IND_1.pdf']",True
S’équiper en dispositifs d’autosurveillance,/aides/bbac-sequiper-en-dispositifs-dautosurveillance/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_IND_1.pdf']",True
Sensibiliser dans le cadre d’une politique territoriale,/aides/5cc2-sensibiliser-dans-le-cadre-dune-politique-ter/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_INF_1.pdf']",True
Mobiliser du public pendant les consultations du comité de bassin,/aides/3202-mobiliser-du-public-pendant-les-consultations/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_INF_1.pdf']",True
Développer l’éducation à l'environnement autour des enjeux de l'eau,/aides/a2d2-developper-leducation-a-lenvironnement-autour/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_INF_1.pdf']",True
Favoriser l’accès à l’eau potable et l’assainissement via des action internationales et de coopération institutionnelle,/aides/1c59-favoriser-lacces-a-leau-potable-et-lassainiss/,True,,False,url not starting with http,"['http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/RG_11P.pdf', 'http://aides-redevances.eau-loire-bretagne.fr/files/live/sites/aides-redevances/files/Information%20-%20Communication/Publications/11-prog/FICHE_INT_1.pdf']",True
